# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1676529573, 0, 0, 1, 1, 1, 0.02%, 0, 0, 1, 2000.00
1676529578, 0, 0, 4, 4, 1, 0.03%, 5, 0, 2, 207.29
1676529583, 0, 0, 5, 5, 1, 0.03%, 5, 0, 2, 210.36
1676529603, 0, 0, 6, 6, 1, 0.03%, 5, 0, 2, 196.68
1676529751, 0, 1, 6, 5, 1, 0.03%, 5, 0, 2, 166.45
1676529761, 0, 2, 7, 5, 0, 0.03%, 5, 0, 3, 198.74
1676529772, 0, 3, 7, 4, 0, 0.03%, 5, 0, 3, 182.85
1676529787, 0, 3, 8, 5, 0, 0.03%, 5, 0, 3, 218.10
1676529797, 0, 4, 8, 4, 0, 0.03%, 5, 0, 3, 203.36
1676529807, 0, 5, 8, 3, 0, 0.03%, 5, 0, 3, 203.06
1676529817, 0, 6, 8, 2, 0, 0.03%, 5, 0, 3, 223.18
1676529822, 0, 6, 9, 3, 0, 0.03%, 5, 0, 4, 214.87
1676529827, 0, 6, 10, 4, 0, 0.03%, 5, 0, 4, 209.77
1676529837, 0, 6, 11, 5, 0, 0.03%, 5, 0, 4, 197.14
1676529863, 0, 8, 11, 4, 0, 0.03%, 5, 0, 4, 220.81
1676529878, 0, 8, 12, 5, 0, 0.03%, 5, 0, 5, 163.96
1676529894, 1, 11, 12, 4, 0, 0.03%, 5, 0, 5, 185.43
1676529899, 1, 11, 13, 5, 0, 0.03%, 5, 0, 6, 208.23
1676529914, 2, 9, 13, 4, 0, 0.03%, 5, 0, 6, 540.88
1676529940, 3, 1, 13, 3, 0, 0.03%, 5, 0, 6, 137.78
1676529945, 3, 8, 13, 3, 0, 0.03%, 5, 0, 6, 169.14
1676529950, 3, 12, 13, 3, 0, 0.03%, 5, 0, 6, 1514.41
1676529996, 4, 5, 13, 2, 0, 0.03%, 5, 0, 6, 176.72
1676530001, 4, 11, 13, 2, 0, 0.03%, 5, 0, 6, 211.18
1676530006, 5, 1, 13, 2, 0, 0.03%, 5, 0, 6, 202.75
1676530012, 5, 10, 13, 2, 0, 0.03%, 5, 0, 6, 170.79
1676530027, 6, 1, 13, 1, 0, 0.03%, 5, 0, 6, 195.88
1676530032, 6, 7, 13, 1, 0, 0.03%, 5, 0, 6, 2039.98
1676530068, 7, 5, 13, 0, 0, 0.03%, 5, 0, 6, 185.50
1676530073, 7, 10, 13, 0, 0, 0.03%, 5, 0, 6, 186.67
1676530084, 8, 2, 13, 0, 0, 0.03%, 5, 0, 6, 183.91
1676530089, 8, 4, 13, 0, 0, 0.03%, 5, 0, 6, 184.92
1676530094, 8, 8, 13, 0, 0, 0.03%, 5, 0, 6, 187.96
1676530099, 9, 1, 13, 0, 0, 0.03%, 5, 0, 6, 180.78
1676530104, 10, 1, 13, 0, 0, 0.03%, 5, 0, 6, 185.33
1676530109, 11, 1, 13, 0, 0, 0.03%, 5, 0, 6, 198.28
1676530114, 12, 13, 14, 1, 1, 0.03%, 5, 0, 6, 221.25
1676530150, 13, 1, 14, 0, 0, 0.03%, 5, 0, 6, 172.75
1676530155, 13, 5, 14, 0, 0, 0.03%, 5, 0, 6, 178.54
1676530160, 13, 7, 14, 0, 0, 0.03%, 5, 0, 6, 171.65
1676530165, 13, 8, 14, 0, 0, 0.03%, 5, 0, 6, 213.98
1676530170, 13, 13, 14, 0, 0, 0.03%, 5, 0, 6, 205.30
1676530180, 13, 13, 15, 1, 0, 0.03%, 5, 0, 6, 194.31
1676530186, 14, 11, 15, 1, 0, 0.03%, 5, 0, 6, 196.82
1676530191, 14, 13, 15, 1, 0, 0.03%, 5, 0, 6, 204.82
1676530206, 15, 1, 15, 1, 0, 0.03%, 5, 0, 6, 181.37
1676530211, 15, 13, 15, 1, 0, 0.03%, 5, 0, 6, 186.84
1676530216, 16, 1, 15, 1, 0, 0.03%, 5, 0, 6, 194.45
1676530221, 17, 1, 15, 1, 0, 0.03%, 5, 0, 6, 190.18
1676530226, 17, 13, 15, 1, 0, 0.03%, 6, 0, 6, 187.50
1676530232, 18, 2, 15, 1, 0, 0.03%, 6, 0, 6, 200.56
1676530237, 18, 13, 15, 1, 0, 0.03%, 6, 0, 6, 183.34
1676530242, 19, 1, 15, 1, 0, 0.03%, 6, 0, 6, 190.82
1676530247, 19, 12, 15, 1, 0, 0.03%, 6, 0, 6, 199.83
1676530252, 19, 13, 15, 1, 0, 0.03%, 6, 0, 6, 177.40
1676530257, 20, 1, 15, 1, 0, 0.03%, 6, 0, 6, 168.90
